UserID,Date,Comment
DEH Panda,2025-02-26 19:29:37+00:00,"Man 
@TikTokSupport
 is not helpful when appealing a ban on TikTok live. This is why I stopped streaming on the platform to begin with. Undeserved bans ALL THE TIME??????? BY THE WAY THIS BAN HAPPENED AFTER THEY GAVE ME BACK LIVE ACCESS AFTER TAKING ME DOWN IN THE FIRST PLACE!!!"
DEH Panda,2025-02-26 19:39:13+00:00,Genuinely don’t understand how this happens
Jason Smith - 上官杰文,2025-02-05 03:49:42+00:00,"So the US is trying to ban TikTok, and now a regular US citizen will be fined a million dollars for downloading DeepSeek.

The USA is not a 'free' country. Anyone using that argument has had the carpet pulled from under their feet.

#DeepSeek #TikTok #Freedom"
Christy Franklin,2025-02-05 05:02:49+00:00,Oh no I've already downloaded DeepSeek.
Jason Smith - 上官杰文,2025-02-05 05:10:01+00:00,The bill hasn't been passed... Please be safe.
matthewjetthall,2025-02-05 04:11:26+00:00,"I run it locally, and Amazon and AWS already have it in their portfolios."
Jason Smith - 上官杰文,2025-02-05 05:09:44+00:00,"The bill hasn't been passed yet, but if it does, you may want to re-evaluate..."
mattf,2025-02-05 04:45:30+00:00,1. Not current law. 2.  There are serious and legitimate security concerns with Chinese apps operating under Chinese law. 3.  Essentially every single major western app and web service is banned in the PRC. You’d be challenged to name a few that aren’t.
Jason Smith - 上官杰文,2025-02-05 05:11:34+00:00,"You are incorrect. X, Facebook, Google and so forth refused to follow Chinese laws, so they opted to leave China on their own. China didn't 'ban' any of them."
Andy Boreham 安柏然,2025-02-06 07:01:12+00:00,"The headline is a bit of a stretch, though — this bill won’t pass."
Sakib,2025-02-06 17:30:56+00:00,makes nooo sense to ban
LIFE AND MONEY,2025-02-05 07:00:34+00:00,"There is no fair competition, the end of the western world."
Artemisia,2025-02-05 12:38:44+00:00,100M$ fine
Jason Smith - 上官杰文,2025-02-05 12:53:09+00:00,"100M for companies. 1 Million for individuals.

It's insane!"
夫唯不爭,2025-02-05 08:58:03+00:00,Do you mean 100 million?
Jason Smith - 上官杰文,2025-02-05 15:19:39+00:00,"100 million for companies, one million for individuals."
Murad Qureshi,2025-02-05 12:56:26+00:00,So much for the “free” world
Overlord Update,2025-02-05 08:11:44+00:00,Had to look it up.  Josh Hawley what a c-ck bag.
Evola,2025-02-05 08:05:21+00:00,"When the powerful dictate what tools you can use, freedom becomes a privilege for the elite."
Matrix Cat,2025-02-05 15:17:12+00:00,Utterly impossible to contain. Nearly 12K developers are already working on their own forks of the Github repository:
ricardo.395,2025-02-05 05:08:33+00:00,"If they don’t control the media, the AI, the classroom, how are they supposed to keep the war machine going!? #freedoom"
La Dame de Thrace,2025-02-05 06:19:38+00:00,"I think China really should not allow TikTok to be sold to one of those American billionaires, and let all American Tiktok users move to Xiaohongshu etc."
Brendon Cahill,2025-02-05 06:53:32+00:00,America be like...
Canis Belli,2025-02-05 07:52:17+00:00,It was a free country.
theScientist,2025-02-05 09:51:42+00:00,"This can't be serious. I mean, seriously, on what ground is it a problem downloading DeepSeek?"
KK,2025-02-05 18:11:53+00:00,Land of the “free”. Home of the slaves!
LIBERDADE mesmo que tarde!,2025-02-05 06:21:56+00:00,THAT'S INSANE
dr viriyala gowtham,2025-02-05 07:30:10+00:00,"America is going towards caves, no progressive outlook, pity"
Michxxl,2025-02-05 07:26:51+00:00,US is shitting in the pant now
Helen Wornham,2025-02-05 08:11:15+00:00,Ahhhh! To be in the land of the fee
Michael de la Vega,2025-02-05 08:34:15+00:00,Indeed. Americans can’t brag about being free speech
Lily of the valley,2025-02-05 08:41:51+00:00,Worse than China’s great fire wall
Josh Britz,2025-02-05 09:29:42+00:00,Funny thing it isn't a free country neither is ran by USA citizens.. where are all these patriots Hollywood made so many movies about? All brainwashed? What happened with the brave intelligent men the US used to cultivate? All gone? USA has being conquered by an alien culture and
ᜌᜓᜃᜒᜐ᜔ᜑᜒᜇᜓᜐᜓᜊᜁᜒᜇ,2025-02-05 11:51:00+00:00,Thank you DeepSeek the corrupt US Government is scared and jealous
direccion cinco,2025-02-05 12:23:51+00:00,In America competition is illegal. I guess thats one way to not have to lose due to lack of development.....
Kairos.hong,2025-02-05 13:06:50+00:00,"In a country that promotes democracy and freedom, this shouldn't have happened, but it did."
Big if True,2025-02-05 16:40:41+00:00,Geez why not just give the death sentence
૨ε|ɢɳ,2025-02-05 17:58:14+00:00,"Open source, they say..."
The World Complex,2025-02-05 18:02:56+00:00,"What if you've downloaded it, and taken advantage of its open source nature to make changes. Is it still Deepseek?"
WANGBAIBEI.ETH,2025-02-05 21:43:05+00:00,Free is the most expensive option
TKHernández,2025-02-05 22:14:49+00:00,Downloaded the other day.
ChineseTechBro,2025-02-05 09:49:50+00:00,Uncle Sam is only free and nice when you are weak and cute.
KS,2025-02-05 10:14:59+00:00,"They deserved to be deprived from this free codes ! 
Let them stick to their old codes ! 
Let’s us from the rest of the world to use this foc codes and leapfrog overthere in 1/2 light cycles !"
BigGreatPlums,2025-02-06 00:48:09+00:00,Was it ever...
Willsst,2025-02-05 07:48:50+00:00,"Absolutely crazy, I mean crazily ridiculous. Why are they so scared of anything Chinese? This AI will help American businesses and general knowledge of American citizens. Why ban it?"
CarlAFez,2025-02-05 10:55:15+00:00,Protectionist
J Wyatt,2025-02-05 15:49:09+00:00,It won't pass. Way too draconian.
Jack Sparrow,2025-02-05 20:37:44+00:00,"Last I checked, having access to AI wasn't in the constitution"
George Ebneth,2025-02-05 21:21:33+00:00,Won't happen it is BS
Gary hutton,2025-02-05 21:42:15+00:00,The “ one for its people and one for the west “ set of apps ?
jpobserver,2025-02-05 22:11:00+00:00,No country is “free”
Proud Black,2025-02-05 05:06:22+00:00,"The US American people are living in their own world 
It’s up to the rest of the world to isolate them, so that the USA can find out that, their products are also banned from entering the other countries"
Prof. S Hunter D.Sh,2025-02-05 05:37:51+00:00,Never was free
Type 3 Civilization,2025-02-05 05:52:09+00:00,WTF!
Al7757,2025-02-05 06:23:14+00:00,It’s both ironic and sad how a $6 million open-source project can expose the fragility of America’s “superiority” complex.
Eddie See,2025-02-05 07:06:38+00:00,Deep Fear!
Supermodelling Humans,2025-02-05 07:23:22+00:00,Better download Deepseek now and be done and over with it.
H G,2025-02-05 08:19:12+00:00,And they say they are free
Zax Thean,2025-02-05 08:24:31+00:00,US now is so chicken
Lokayata,2025-02-05 08:36:04+00:00,"Bruh China has banned Google, Meta .etc"
Mike,2025-02-05 08:57:56+00:00,SINGING: LAND OF FREEEE (WITH HIGH PITCH)
S. Patel,2025-02-05 09:02:42+00:00,The point here is why did China and CEO of Tiktok lie during a hearing. Rewind that hearing.
Daniele Mulas,2025-02-05 09:31:18+00:00,Enjoy MAGA
Dystopia Sunset,2025-02-05 09:43:22+00:00,"You had better start looking for that $100 million note under the sofa.

This reminds me of Austin Powers, I will hold you to randsom and you will pay me $1 billion dollars!"
Andrew Frennier,2025-02-05 10:40:59+00:00,"To be fully transparent it is only a proposed bill so far, and not yet law"
Ismail Farghaly( إسماعيل )𓋹𓂀,2025-02-05 11:37:23+00:00,Land of the free my ass.
Re-X,2025-02-05 12:04:32+00:00,Should be banned in the US like china banned google.
RK,2025-02-05 12:11:31+00:00,"Everything comes at a price.
Have you gone through the code of DeepSeek, probably not"
Speed Bump,2025-02-05 12:37:35+00:00,hory shitbarrs! no downroad fol me!
Blade Jedi,2025-02-05 13:29:05+00:00,"today with 'leaders' in the West,
the world is a fraud & freedom is a facade .."
Someone,2025-02-05 14:10:46+00:00,"Soon theyl criminalize chinese food,and out you in prison if you have chinese name regardless of race"
Kaimi,2025-02-05 22:44:57+00:00,"This is so stupid, sorry I have nothing else to say."
Cosmic Café Show,2025-02-05 23:05:44+00:00,WTF!!!
Scunthorpe Watch!,2025-02-05 23:40:53+00:00,"Just installed it, Could not get OpenAI in Hong Kong despite them lying saying that you could."
Kid Ai 3000,2025-02-05 23:56:02+00:00,The USA has never been a free country since the white man arrived
Robert Wong,2025-02-05 23:56:38+00:00,"National Security necessity 

OR

Trying to protect overpriced tech stocks and tech investments?"
Ela,2025-02-06 00:34:19+00:00,It's so interesting to see the reaction when the US is scared.  The US is not confident anymore.
cesar,2025-02-06 00:45:18+00:00,"basically, ""if you want to enter the AI business, you cant, this is to protect OpenAI, only they can do AI apps"""
SerpinA5Mystic PEACE NOT WAR! FREE PALESTINE NOW,2025-02-06 00:59:58+00:00,"US govt brought the Nazis home after WW2 and that was the end of anything even marginally democratic:) 
@HawleyMO
 and Hawley is ALL IN ON Fascism."
贝丝索萨第二个号,2025-02-06 02:19:31+00:00,
专喷汉奸走狗润人殖子,2025-02-06 02:24:27+00:00,The United States is truly too great. I have never heard of someone being imprisoned or even fined 1 million dollars for downloading an app.
Jeahe,2025-02-05 14:55:39+00:00,大清开始闭关锁国了
no,2025-02-05 15:03:58+00:00,*taps the sign*
SAMIT MUKHERJEE,2025-02-05 15:08:40+00:00,What a fucking joke
Mohamed Said,2025-02-05 15:19:14+00:00,"Dont worry, america and her cronies have lost all credibility... 

we are with you... 

It just a matter of time for their gov to fail and frail on its own.. 

These are the kicks of a dying horse... we are with you ... 

 served this to americans and their cronies!!"
Matrix Cat,2025-02-05 15:21:38+00:00,I'll just ask Alex Jones to pay my fine.
Wandi K,2025-02-05 15:24:59+00:00,Empire is dilapidating. Now it is chasing the shadows
deactivated,2025-02-05 15:29:13+00:00,I thought this was stuff only communist countries did?
Umusuwa,2025-02-05 15:59:16+00:00,This is communism for the tech bros.
Lore Soong,2025-02-05 16:21:44+00:00,Sounds like fake news
Jooselo,2025-02-05 16:28:33+00:00,"""free country"" is just a trademark capitalists/globalists sell to the world. The US is an oligarchy/dictatorship but every four years they pretend they have ""free elections"""
sunnyB Z,2025-02-06 02:29:16+00:00,All l know about USA is the leaders are bully n hypocrites evill pple
Anthony Suworow 蘇沃洛夫,2025-02-06 02:43:50+00:00,"I’ve been saying for years we’re no longer a free country , it’s like everyone’s still finishing their tests"
Eudora O'Neil,2025-02-06 02:48:25+00:00,Is deepseek easy to use?
Vote3rdParty,2025-02-06 02:50:35+00:00,It’s quite a scene to watch how these corporate-owned parasites so desperately protect American oligarch’s profits by making free things that benefit everyone illegal.
Bookhermit,2025-02-06 03:51:20+00:00,That law will never pass
