UserID,Date,Comment
TikTokComms,2025-03-11 11:35:35+00:00,"/1 A NEW report by 
@OxfordEconomics
 highlights TikTok's role in driving job growth. In 2024 alone, 7.5 MILLION U.S. businesses used TikTok, powering 28 MILLION jobs.  From small startups to major brands, businesses of all sizes are leveraging TikTok to expand, engage, and"
Walt,2025-03-30 21:46:25+00:00,"Awww, a TikTok commercial. Ban it. As the law passed demanded."
chris wilkerson,2025-03-30 21:47:40+00:00,Nobody ever explained that debacle to my satisfaction.
仲良真澄美。金土祝前日は5時まで。それ以外は要相談,2025-03-30 16:27:58+00:00,"さきほど、Tiktokにて「おしりがセクシー」と発言したらBANになりました。

桃が艶めいていると発言しなかったのが悪かったです。すいません。"
Delaware Online,2025-03-29 21:00:42+00:00,"If ByteDance does not divest TikTok by April 5, the app could go dark once again. President Trump has already addressed how he plans to prevent the ban."
𝕵𝖔𝖘𝖊𝖕𝖍 𝕬𝖟𝖟𝖔𝖕𝖆𝖗𝖉𝖎,2025-03-29 15:41:23+00:00,They really gonna ban tiktok again jeez Well RIP tiktok
All Around Nigeria,2025-03-29 23:39:23+00:00,TikTok should ban GRWM
Kyle Bass,2025-03-11 19:27:11+00:00,Chinese Communist Party run TikTok is playing mind games with the people of the United States . Our government and our courts have ruled that TikTok MUST BE SOLD to a U.S. company. If Xi allows it to be shut down instead of being sold for ($40 billion+)…it’s his ‘tell’.
Kyle Bass,2025-03-11 19:27:12+00:00,#TikTok #China #DigitalFentanyl
Kyle Bass,2025-03-11 23:22:12+00:00,"HT 
@jena89009911"
Capital Flows,2025-03-11 19:28:09+00:00,Not going to end well
ℍ𝕒𝕪𝕥𝕠𝕟𝕤𝔾𝔹,2025-03-11 19:31:47+00:00,"Buckle up, this ride's gonna get wild."
Na Hae-soo,2025-03-16 11:45:25+00:00,Nazi
dean evans,2025-03-11 22:19:08+00:00,So…what’s holding up the process?
我不会说中文,2025-03-12 00:06:24+00:00,"At this point, how much more damage could they do?  What?  Are they going to brainwash us in to electing Trump for a 3rd term?  At some point, you have to take responsibility for your own actions.  If an App can brainwash you, anybody can."
ForProfit,2025-03-11 20:04:26+00:00,1/2 of the US are too intellectually challenged to understand how China has been manipulating them.  Look at who they voted for...  A Clown... and now they r losing their jobs... how did they not learn the first time? so that tells you the level of intellect we are dealing with
Kal,2025-03-12 06:21:13+00:00,Will you let Meta or X be sold to China?
Mike Mangan,2025-03-11 20:03:30+00:00,Agree Kyle. Good to see ur back in the saddle
Edward Snarrow,2025-03-11 20:11:04+00:00,"Kyle, where are commonsense and reasoning gone? China outsmarted us; they got a critical mass of folks on the payroll, and now these very people are addicted to CCP money. So far, they have won, and we lost."
AltınBöceği,2025-03-11 23:48:12+00:00,China should ask for facebook in return
Paulo,2025-03-12 03:04:01+00:00,Fvck TikTok and fvck the CCP
Miles Guo Innocent,2025-03-12 04:55:16+00:00,
May Ho,2025-03-12 07:14:48+00:00,If the USA only has a law to ban TikTok
